                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4636,                 1.5961,                 1.4596,                 0.5215,                0.58477,                0.57152,                0.30573,                 1.5838,                 1.7124,                 1.5175,             0.00029674,             0.00029674,             0.00029674
                     35,                 1.4482,                 1.5628,                 1.4579,                0.48295,                0.61183,                0.52481,                0.27646,                 1.5786,                 1.7392,                 1.5064,             0.00029564,             0.00029564,             0.00029564
                     36,                 1.4579,                 1.5629,                  1.451,                 0.5079,                0.59149,                0.54868,                0.30194,                 1.5525,                 1.7683,                 1.4941,             0.00029454,             0.00029454,             0.00029454
                     37,                 1.4595,                 1.5556,                 1.4501,                0.52495,                 0.6007,                0.54366,                0.30141,                 1.5401,                 1.7267,                 1.4953,             0.00029344,             0.00029344,             0.00029344
                     38,                 1.4252,                 1.5178,                 1.4192,                0.53625,                 0.6479,                0.58424,                0.31313,                   1.67,                 1.6837,                 1.5454,             0.00029234,             0.00029234,             0.00029234
                     39,                 1.3974,                 1.4941,                 1.4195,                 0.5688,                0.65417,                  0.601,                0.31267,                 1.6839,                 1.6241,                 1.5852,             0.00029124,             0.00029124,             0.00029124
                     40,                 1.4061,                 1.4845,                 1.4049,                0.51906,                 0.6357,                0.57153,                0.30347,                 1.7098,                 1.6551,                 1.5968,             0.00029014,             0.00029014,             0.00029014
                     41,                 1.4054,                 1.4584,                 1.4129,                0.45909,                0.64591,                0.53771,                0.30102,                 1.6221,                 1.7185,                 1.5398,             0.00028904,             0.00028904,             0.00028904
                     42,                 1.3976,                 1.4683,                 1.4077,                0.51477,                 0.6526,                0.56705,                0.31203,                 1.5508,                  1.657,                 1.5013,             0.00028795,             0.00028795,             0.00028795
                     43,                 1.4138,                 1.4477,                 1.4198,                0.51373,                0.67093,                0.56437,                0.30963,                 1.5673,                 1.7525,                 1.5424,             0.00028685,             0.00028685,             0.00028685
                     44,                 1.3903,                 1.4523,                 1.4118,                0.54785,                  0.643,                0.57471,                0.31054,                 1.5932,                  1.736,                 1.5353,             0.00028575,             0.00028575,             0.00028575
                     45,                  1.455,                 1.4814,                 1.4518,                0.49765,                0.59018,                0.53748,                  0.303,                 1.5127,                 1.8589,                 1.5262,             0.00028465,             0.00028465,             0.00028465
                     46,                 1.3899,                 1.4151,                 1.4045,                0.52562,                0.64102,                0.56798,                0.31923,                 1.5202,                 1.6288,                 1.4543,             0.00028355,             0.00028355,             0.00028355
                     47,                 1.4341,                  1.424,                 1.4114,                0.46476,                 0.6644,                 0.5422,                 0.2746,                 1.7375,                 1.7573,                 1.6151,             0.00028245,             0.00028245,             0.00028245
                     48,                 1.3971,                 1.4221,                 1.4116,                0.50165,                0.63628,                0.58065,                0.33194,                 1.5675,                 1.6917,                  1.523,             0.00028135,             0.00028135,             0.00028135
                     49,                   1.38,                 1.4059,                 1.4014,                0.56075,                0.60112,                0.60173,                0.32784,                 1.6228,                 1.5281,                  1.501,             0.00028025,             0.00028025,             0.00028025
                     50,                 1.3869,                 1.3719,                 1.3893,                0.57729,                0.61662,                0.61002,                0.33637,                  1.605,                 1.6281,                 1.5245,             0.00027915,             0.00027915,             0.00027915
